,Title,Zone,Price,Size (m²),Status
0,Excelente apartamento T3 na conceituada urbanização da Anta da Agualva,               Urbanização da Anta (Agualva),275000,167.0,Recuperado
1,"Apartamento T3, Albufeira Green Apartments - Condominio privado",               Correeira (Albufeira),430000,154.0,Em construção
2,apartment,               Quinta da Barnabé (Triana),950000,116.0,Renovado
3,apartment,               Encosta do Mourigo,750,156.0,Usado
4,apartment,               Centro (Matosinhos),305000,80.0,Usado
5,Apartamento T2,               Vila do Conde,2,110.0,Renovado
6,Apartamento T3,               Aver-O-Mar,3,150.0,Usado
7,Apartamento T3+1 em Vila do Conde,               Vila do Conde,31,141.0,Usado
8,Apartamento T3 vista de Mar,               Póvoa de Varzim,3,125.0,Usado
9,"Apartamento T2, Albufeira Green Apartments - Condominio privado",               Albufeira e Olhos de Água,505000,239.0,Em construção
10,Apartamento T3 no Parque da Devesa,               Vila Nova de Famalicão e Calendário,3,176.0,Usado
11,Apartamento T3,               Ocidental (Calendário),3,160.0,Novo
12,"Apartamento Remodelado com óptimos acabamentos, ao centro da Maia.",               Cidade da Maia,165000,105.0,Renovado
13,"Apartamento T2, Parede",               Carcavelos e Parede,1600,78.0,Usado
14,Novo Apartamento T2 com Varanda à Santa Rita,               Monte da Costa,175000,100.0,Em construção
15,"Apartamento T3 com terraço de acesso privativo em Duplex na cobertura, Seixal (Grande Lisboa) em condomínio fechado com piscina panorâmica na cobertura",               Quinta da Trindade   (Seixal),924000,310.0,Em construção
16,"Apartamento T2, Albufeira, com boas varandas em condomínio fechado com piscina e jardim em bairro residencial calmo",               Correeira (Albufeira),309000,120.0,Em construção
17,Penthouse com Varanda 84m2 entre Matosinhos Sul e o Parque da Cidade,               Matosinhos e Leça da Palmeira,725000,263.0,Novo
18,Espectacular apartamento T4 no centro da Maia,               Centro (Maia),435000,176.0,Usado
19,T3 em condomínio de luxo com vista mar na Foz do Douro,               Foz (Foz do Douro),740000,156.0,Usado
20,Empreendimento Jardins Efanor,               São Mamede de Infesta e Senhora da Hora,683638,261.0,Usado
21,T4+1 Duplex Pinhais da Foz,               Aldoar,1250000,367.0,Usado
22,T2 Matosinhos Sul primeira linha de mar,               Matosinhos-Sul (Matosinhos),550000,123.0,Usado
23,T5 no Palácio da Enseada em Matosinhos Sul,               Matosinhos e Leça da Palmeira,1100000,286.0,Usado
24,Apartamento Triplex T3 para Venda na Figueira da Foz,               Figueira da Foz (São Julião (Figueira da Foz)),,225.0,Usado
25,Apartamento T3 em Construção para Venda em Braga,               Real,,135.0,Em construção
26,Apartamento T2 em Construção para Venda em Braga,               Real,,103.0,Em construção
27,"T2 com Terraços - Campo de Ourique, construção de 2018",               Campo de Ourique,620000,96.0,Recuperado
